Product Name,Orig Price,Sale Price,Discount
Minecraft Mini Mining Figure Set,7.99,1.99,75.09
"Protocol Liar, Liar Digital Lie Detector with Electric Shock & Vibration",67.0,26.8,60.0
Professor Puzzle Washer Toss Game,130.0,52.0,60.0
Wembley Mini Marshmallow Blaster,40.0,16.0,60.0
Fred Bookie Cushion,15.0,6.0,60.0
Brain Games 10-Minute Mystery Puzzles,18.0,7.2,60.0
Brain Games Large Print Crosswords,22.0,8.8,60.0
Mattel Star Wars: The Mandalorian 3-Pack Plush Set,29.99,13.49,55.02
Animal Adventure Rudolph the Red-Nosed Reindeer Musical & Light-Up Rocker,169.99,84.99,50.0
Super Impulse World's Smallest-Connect 4,15.0,7.5,50.0
